change,2010,2012,2014,2016,2018
05 =,NaN,0.6351351351351351,0.5,0.49612403100775193,0.8031496062992126
05 -,NaN,0.16216216216216217,0.1640625,0.21705426356589147,0.07086614173228346
05 +,NaN,0.20270270270270271,0.3359375,0.2868217054263566,0.12598425196850394
06 =,NaN,0.68,0.4375,0.24806201550387597,0.5984251968503937
06 -,NaN,0.16,0.1953125,0.11627906976744186,0.09448818897637795
06 +,NaN,0.16,0.3671875,0.6356589147286822,0.30708661417322836
08 =,NaN,0.18421052631578946,0.4296875,0.5891472868217055,0.7559055118110236
08 -,NaN,0.013157894736842105,0.203125,0.20155038759689922,0.047244094488188976
08 +,NaN,0.8026315789473685,0.3671875,0.20930232558139536,0.1968503937007874
11 =,NaN,0.64,0.125,0.265625,0.664
11 -,NaN,0.13333333333333333,0.0546875,0.234375,0.096
11 +,NaN,0.22666666666666666,0.8203125,0.5,0.24
13 =,NaN,0.5,0.3968253968253968,0.359375,0.5984251968503937
13 -,NaN,0.2972972972972973,0.2222222222222222,0.3125,0.11023622047244094
13 +,NaN,0.20270270270270271,0.38095238095238093,0.328125,0.29133858267716534
14 =,NaN,0.25675675675675674,0.2,0.12598425196850394,0.4645669291338583
14 -,NaN,0.20270270270270271,0.256,0.33070866141732286,0.14173228346456693
14 +,NaN,0.5405405405405406,0.544,0.5433070866141733,0.3937007874015748
