"","Article 5","Article 6","Article 8","Article 11","Article 13"
"General Trade","-0.01 ","0.27 **","0.12 ","0.40 ***","0.10 "
"","(0.09)","(0.11)","(0.22)","(0.15)","(0.14)"
"Tobacco Trade","0.02 ","0.20 **","0.29 **","0.25 **","0.11 "
"","(0.07)","(0.08)","(0.14)","(0.11)","(0.11)"
"Minimal distance","0.13 ","0.30 **","0.17 ","0.36 ***","0.51 ***"
"","(0.10)","(0.12)","(0.15)","(0.14)","(0.16)"
"Centroid Distance","0.66 ","1.13 **","3.24 ***","2.02 ***","0.98 "
"","(0.49)","(0.52)","(0.86)","(0.62)","(0.63)"
"Country Borders","0.05 ","0.16 *","0.05 ","0.23 **","0.25 **"
"","(0.07)","(0.09)","(0.12)","(0.10)","(0.12)"
"GlobalLink Posts","0.01 ","0.10 ","0.24 *","0.23 **","0.03 "
"","(0.07)","(0.08)","(0.14)","(0.09)","(0.11)"
"GlobalLink Referrals","-0.09 ","0.12 *","0.09 ","0.08 ","0.02 "
"","(0.05)","(0.06)","(0.10)","(0.08)","(0.08)"
"FCTC COP co-participation","0.03 ","0.05 ","0.34 ","0.37 *","0.46 **"
"","(0.12)","(0.15)","(0.29)","(0.19)","(0.20)"
"FCTC INB co-participation","-0.10 ","0.46 ***","0.01 ","0.70 ***","0.47 ***"
"","(0.11)","(0.13)","(0.27)","(0.17)","(0.17)"
"Interest Group co-membership","0.00 ","0.15 **","0.04 ","0.13 ","0.19 *"
"","(0.06)","(0.07)","(0.16)","(0.10)","(0.11)"
